ID,cg,y,bv
1,group_4,1.6443838520880092,1.3637942409254993
2,group_2,1.1059528585597758,1.7960804148868188
3,group_3,2.4751518814449023,2.1196524466315902
4,group_4,2.774240839328752,1.866045356828872
5,group_2,2.467321246710835,0.981595079950866
6,group_2,3.9469818952243485,2.1640208478241454
7,group_4,1.9420101915749957,1.6218537655790959
8,group_3,1.8667872603923676,1.7033075640013882
9,group_4,1.2625268287920912,1.13682940824277
10,group_4,4.788526442977434,3.160275402132482
11,group_4,3.2773809942792664,2.5756225073509547
12,group_2,2.2081033253047324,1.2030753576470006
13,group_1,2.1818422459163336,2.8164691571276443
14,group_1,0.6038517782250263,1.710570954336835
15,group_1,-0.6638013799922915,0.7352774431826554
16,group_2,3.8098859453379723,2.8234411945926543
17,group_4,1.0935403481657566,1.400526054497778
18,group_4,1.6668277273852683,1.7246547329048243
19,group_3,3.1686341038835977,2.2718951520042006
20,group_4,2.583937888732482,1.6927571419010163
21,group_4,1.2359790854127872,0.7123341320392038
22,group_2,2.632377588464107,2.3205693461941346
23,group_4,1.3578512416842399,2.141583812867076
24,group_1,0.9493967870660479,2.3138695488558327
25,group_2,2.87675495535365,2.133733448620561
26,group_1,1.8685489319622537,3.4670955279192714
27,group_1,-0.19293503606001605,1.3511139714493479
28,group_4,1.8168574805252589,2.400984719903776
29,group_1,2.5078556576673066,4.102380988698194
30,group_4,3.3293883411330842,2.620593959938881
31,group_4,1.8157946686088815,2.0252963491414913
32,group_2,2.0415594191850377,1.652806354046672
33,group_2,3.264857526129555,2.9063160860855093
34,group_4,3.9367514451287344,3.639014323254464
35,group_4,3.684635003185556,2.6552529527276247
36,group_1,1.0788257617150823,2.0872697459152145
37,group_3,4.077967526725569,2.5419621862241497
38,group_2,2.370205703250053,2.642464764290214
39,group_2,2.4875980362048304,2.330295944672551
40,group_4,2.061359391281172,1.8786741423190296
41,group_4,1.2368625970661786,1.9711486402498828
42,group_4,3.995707704766442,2.2649464140838202
43,group_1,3.4414252513458434,3.510945314121014
44,group_2,3.808144050710093,2.6301313379622
45,group_1,1.3920990310045425,1.9025710306583739
46,group_4,2.0191184858626787,1.4589859249187263
47,group_1,3.4538767853813583,2.966082723273669
48,group_1,1.5595015229157112,2.161818466857167
49,group_3,2.929821973662626,2.0736017386132066
50,group_1,1.4191645955622976,2.1227729196539467
51,group_1,-0.12619637222764335,1.8179689420381488
52,group_4,2.3679821556946834,2.4713854150299723
53,group_1,1.5945863941752727,1.7996228016070297
54,group_3,2.355718504219775,1.5315344511883047
55,group_3,-0.30251733442467343,0.3408453260008808
56,group_2,3.1836328599766492,2.7782222155311462
57,group_4,2.9313310239327572,2.487654971296809
58,group_2,3.6725687206806357,2.7297587068324893
59,group_4,1.8495970550316607,1.7328100547995198
60,group_4,2.862422330607223,2.944666264984345
61,group_3,3.736135026793856,3.1244945057035878
62,group_3,2.6124496038645084,2.8231910191191365
63,group_2,3.085755102776847,1.5727114098202908
64,group_1,0.6555173059670982,1.3304369689399471
65,group_3,1.4666986147127345,2.0346059545921307
66,group_1,0.12462019642294636,1.7460476806676428
67,group_3,2.1340919969940275,2.049724580621522
68,group_3,2.4236705724608263,1.9036459325324702
69,group_4,2.3257442218170423,2.1642207945085694
70,group_2,2.9398339078961646,2.601254673521458
71,group_4,3.620950179602522,2.853439457315303
72,group_4,3.1095555307424823,2.1232824542473008
73,group_4,2.8471231096112506,1.9868418896178268
74,group_3,0.9538117281910352,1.6717498235282293
75,group_1,0.5071797027423485,2.776523062835575
76,group_4,1.856789184100649,1.5829591883846748
77,group_1,-1.5852820417492364,1.5082874951710463
78,group_2,2.0341346784946017,1.8058866855734013
79,group_4,2.644805466966696,1.8118603270705373
80,group_3,3.4949069017369894,2.4398460986534602
81,group_1,1.6091883404882514,2.914412548769856
82,group_4,1.1497777608095434,2.094424644755087
83,group_2,1.174637497295087,0.45522102202951453
84,group_1,0.4863927309059941,1.9446283383035958
85,group_3,1.932700629568848,1.3286990226157382
86,group_1,-0.7086930687493109,0.38854424126866205
87,group_4,1.7005254200159845,1.1989026662142048
88,group_4,1.8773920155724486,1.7609578330256548
89,group_4,0.3493632809898717,0.9209836767592257
90,group_3,2.6403602458452524,1.1763404155067625
91,group_2,3.5139310101844887,2.0792487324007367
92,group_3,2.029967536065463,1.8601568133367268
93,group_4,3.3135663004926132,2.202026400919269
94,group_3,1.671459712136774,1.5462660172968992
95,group_4,3.014020097466046,2.516400591226425
96,group_4,3.4656429344476867,2.644530738166761
97,group_4,4.432947030331048,2.8758628711793297
98,group_3,2.307904598220591,2.896871627938317
99,group_3,3.2962283108699078,2.433550614054215
100,group_1,1.8667293156632834,2.568625463620376
101,group_4,2.6950895269607527,2.396859153685791
102,group_1,0.9167772596687032,2.444550431903081
103,group_2,3.9932900248236574,2.0900483269851757
104,group_4,3.1595567241470155,2.958239818623735
105,group_1,1.424915308363526,2.7848833861792754
106,group_4,2.4051628142653976,1.6689953363708647
107,group_2,3.050604742522304,2.065364870678193
108,group_4,1.4969370261140376,0.7731142486424774
109,group_1,2.3223101060944398,3.3949382161652935
110,group_4,3.3059557247885305,2.8428004126482267
111,group_2,2.7376220134224623,1.8816787312624899
112,group_4,2.15985947226537,2.257975958177165
113,group_4,1.1636983928411313,1.5555435514672902
114,group_4,4.309902194820643,2.097748916132078
115,group_2,3.2232003513113043,1.7082546907329923
116,group_2,1.7731296873820153,2.2873249027892184
117,group_2,2.7746441107862747,1.9364781807336915
118,group_2,4.313536041128374,3.1703757575893343
119,group_1,0.4193935385779155,2.9900599933011027
120,group_3,4.221650542897303,2.9453141916250405
121,group_3,2.4580512060037805,2.207033334364158
122,group_2,4.476460137702592,1.7417312315326319
123,group_1,1.1808385280618174,1.9388911667703193
124,group_3,3.491464171961314,2.637633533043491
125,group_3,2.364290412966696,2.759588408928323
126,group_3,2.638543317518371,2.552540422451372
127,group_4,2.01259991293205,2.3322978690309486
128,group_2,4.074253272104237,1.9940586911404017
129,group_1,0.3675811319354716,2.297043340905651
130,group_2,2.1376126789324847,1.0670589235093706
131,group_1,-0.9363823535229133,0.6613035523667772
132,group_3,0.45605413874553746,1.3284038690999898
133,group_3,0.10990839275081421,0.42015424022881337
134,group_1,0.355008514888825,1.4831525592677408
135,group_2,3.4603842545049353,2.0539415352636192
136,group_3,3.9396507047337423,2.306518377248499
137,group_1,1.072718266325431,2.679150895433612
138,group_1,-1.0101093451509537,1.5556169676035956
139,group_2,2.6393817096912486,1.9421732145630326
140,group_1,1.257665957567754,2.7470441086304245
141,group_2,2.3176448800814953,1.9129011283867945
142,group_1,0.9489672310232505,2.1260028956488943
143,group_2,2.6758492071192888,1.4701129541778346
144,group_3,2.003204837238857,2.292563582205196
145,group_3,4.560920483396475,3.477641038044498
146,group_4,2.6875470935085923,2.9368531547286816
147,group_3,3.083132762118591,2.3104033640515995
148,group_3,3.476101992943292,2.7388178646192967
149,group_1,-0.5282114690423849,1.2428915807056056
150,group_4,3.0700966378262344,2.5180590046721973
151,group_3,2.809818650167323,2.4046781780764066
152,group_1,0.7815823468155755,2.465200864009266
153,group_2,3.1806426881487884,2.6007820039871055
154,group_1,-0.015439601220400334,2.3041847363439967
155,group_2,2.1324383992074734,0.9294730386602825
156,group_1,0.019075596177515197,2.089561511789418
157,group_3,3.8107430018652106,1.821594287342897
158,group_1,1.0789098109732123,2.27891552746412
159,group_1,1.3049790088779043,2.497765676749321
160,group_2,4.139979146632244,2.8926392623017274
161,group_3,3.4961673652949528,3.2388234473768747
162,group_2,2.8737964509400498,2.4485190870368627
163,group_2,2.39401733908044,2.427762835761393
164,group_1,2.690271517222765,2.765424902553328
165,group_1,2.873761039017849,3.523444246581986
166,group_3,2.849946632159987,2.359667185643434
167,group_4,4.856871975635616,3.0899652125130848
168,group_1,-0.8752468528709045,1.316273484488227
169,group_2,1.8689269224013905,2.1268491736715185
170,group_2,4.75038031409536,3.6970396599627198
171,group_2,3.7202503869926193,2.9764812579351196
172,group_1,1.0621661051579696,2.0098450817684506
173,group_1,1.3599410335628583,2.3400107006702533
174,group_1,0.7169121796559943,2.348162377148514
175,group_2,1.9126023269467274,1.3281609696754826
176,group_4,2.306964958723098,1.946916187621407
177,group_4,1.0675594643182333,1.2320459845567815
178,group_3,0.9993595049629238,1.8154469705155198
179,group_3,2.4079050024242474,1.54777905887291
180,group_1,0.6155359379744118,0.5200490960298382
181,group_3,1.0361948167676267,1.115905888626607
182,group_1,0.06768781555403203,1.15496148075547
183,group_3,2.7635741510178984,2.1153845138819776
184,group_1,0.5893059068970299,1.4829365598702415
185,group_3,0.9898218172502022,1.8432590695931832
186,group_2,3.139027727361309,1.8352258938477466
187,group_3,1.9098622565624295,2.4366440098777895
188,group_4,3.2430198490166244,2.446717641409565
189,group_2,3.156586674530212,2.223840060095829
190,group_4,0.0462651417943577,0.5246020131974342
191,group_3,2.6142275109951916,2.8994247994370124
192,group_3,1.9830048687905384,2.3882781479407025
193,group_3,2.4002760330217487,2.1618605597306026
194,group_1,2.07576308670737,3.541182396863644
195,group_4,2.3518364714832085,1.5314687580625341
196,group_4,1.8039119892239206,1.4414314929735086
197,group_4,2.6199363449227406,1.6349373371095823
198,group_3,2.4887778212976355,1.0989749376946587
199,group_2,4.092793506278664,2.5532308253255156
200,group_2,1.9559621979866133,1.529510582811246
201,group_4,3.7534804169378164,2.192497119428904
202,group_4,1.8188776044320096,1.9145340930358556
203,group_4,2.1182480062529123,2.4216738710899364
204,group_2,2.0930560283420045,1.4785040528480276
205,group_4,1.0566212204266114,1.2076143225116183
206,group_4,2.951251577111864,2.684188729383531
207,group_1,0.7092472736248351,1.1688969189525384
208,group_1,0.7704788540116474,1.9506207419701154
209,group_3,3.212719128309965,1.699349144058532
210,group_1,1.237490279098137,1.2925794009958604
211,group_4,0.39832068462339504,0.4277809453719908
212,group_3,1.283153862548822,1.7508219734014525
213,group_2,2.799758392680718,1.5080827547725941
214,group_1,0.014694036624655848,1.9221414317829526
215,group_1,1.2200062133663065,1.4177199318945504
216,group_4,0.9480886303880961,1.2689605496758358
217,group_3,1.7266525469569018,1.742534198765478
218,group_2,1.4857566059850087,0.27166463268778945
219,group_3,2.733791447286239,2.700502122711807
220,group_3,2.087464621180544,1.40533820709115
221,group_1,0.03541308659991915,1.1212132071119156
222,group_4,3.1908853588635546,1.7200704447743904
223,group_1,-0.6053019315479243,1.3571277341498975
224,group_2,2.3294561843035546,0.6845850722746438
225,group_4,2.729089067437931,2.1675428576620956
226,group_3,1.9753231134661426,1.7371415738128448
227,group_3,3.2083960777962828,2.987067793701146
228,group_4,1.214629780206995,0.7760735724080177
229,group_3,2.3891213744702706,2.26816642869519
230,group_1,0.6228392996085161,1.5949790823640961
231,group_1,2.679024265641643,2.132006570008365
232,group_4,2.134294268595498,1.9584910857746296
233,group_4,2.001266453407004,2.2158383819854746
234,group_2,2.202040695010553,2.2454575443053257
235,group_1,1.7157831351233648,2.951594363326239
236,group_2,3.9579578238956437,3.1826023974801427
237,group_1,1.5376655827049075,2.86004765111717
238,group_4,3.519729397947171,1.6324876944908853
